,day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
0,-1,0,RAINFOREST_RESIN,10002.0,1.0,9996.0,2.0,9995.0,29.0,10004.0,2.0,10005.0,29.0,,,10003.0,0.0
1,-1,0,KELP,2028.0,1.0,2026.0,2.0,2025.0,29.0,2029.0,31.0,,,,,2028.5,0.0
2,-1,100,KELP,2025.0,24.0,,,,,2028.0,2.0,2029.0,22.0,,,2026.5,0.0
3,-1,100,RAINFOREST_RESIN,9996.0,2.0,9995.0,22.0,,,10004.0,2.0,10005.0,22.0,,,10000.0,0.0
4,-1,200,RAINFOREST_RESIN,9995.0,20.0,,,,,10005.0,20.0,,,,,10000.0,0.0
5,-1,200,KELP,2025.0,22.0,,,,,2028.0,20.0,,,,,2026.5,0.0
6,-1,300,KELP,2025.0,31.0,,,,,2028.0,2.0,2029.0,29.0,,,2026.5,0.0
7,-1,300,RAINFOREST_RESIN,9996.0,2.0,9995.0,29.0,,,10004.0,2.0,10005.0,29.0,,,10000.0,0.0
8,-1,400,RAINFOREST_RESIN,9996.0,2.0,9995.0,25.0,,,10004.0,2.0,10005.0,25.0,,,10000.0,0.0
9,-1,400,KELP,2025.0,27.0,,,,,2028.0,27.0,,,,,2026.5,0.0
10,-1,500,KELP,2025.0,30.0,,,,,2028.0,30.0,,,,,2026.5,0.0
11,-1,500,RAINFOREST_RESIN,9995.0,30.0,,,,,10002.0,4.0,10005.0,30.0,,,9998.5,0.0
12,-1,600,RAINFOREST_RESIN,10000.0,5.0,9995.0,25.0,,,10005.0,25.0,,,,,10002.5,0.0
13,-1,600,KELP,2026.0,5.0,2025.0,31.0,,,2028.0,25.0,,,,,2027.0,0.0
14,-1,700,KELP,2025.0,2.0,2024.0,23.0,,,2028.0,23.0,,,,,2026.5,0.0
15,-1,700,RAINFOREST_RESIN,9995.0,23.0,,,,,10005.0,23.0,,,,,10000.0,0.0
16,-1,800,RAINFOREST_RESIN,9996.0,1.0,9995.0,29.0,,,10004.0,1.0,10005.0,29.0,,,10000.0,0.0
17,-1,800,KELP,2024.0,1.0,2023.0,29.0,,,2027.0,30.0,,,,,2025.5,0.0
18,-1,900,KELP,2024.0,23.0,,,,,2027.0,23.0,,,,,2025.5,0.0
19,-1,900,RAINFOREST_RESIN,9996.0,1.0,9995.0,22.0,,,10004.0,1.0,10005.0,22.0,,,10000.0,0.0
20,-1,1000,RAINFOREST_RESIN,9995.0,26.0,,,,,10005.0,26.0,,,,,10000.0,0.0
21,-1,1000,KELP,2024.0,26.0,,,,,2026.0,6.0,2027.0,26.0,,,2025.0,0.0
22,-1,1100,KELP,2025.0,6.0,2024.0,26.0,,,2027.0,2.0,2028.0,24.0,,,2026.0,0.0
